"Company_Name","Ticker","Sub_Sector","Market_Cap","Close_Price","PE_Ratio","5Y_Historical_Revenue_Growth","1Y_Forward_Revenue_Growth","Total_Revenue","PBT","Taxes_And_Other_Items","DII_Holding_Change_3M","FII_Holding_Change_3M","MF_Holding_Change_3M","Promoter_Holding_Change_3M","Percentage_Buy_Records","No_Of_Analysts_With_Buy_Reco","Percentage Upside"
"Triveni Engineering and Industries Ltd","TRIVENI","Sugar",7226.911863,303.05,17.04259371,8.750975804,23.52965393,4372.27,573.74,149.69,1.172544812,-1.188882419,1.181336767,-0.175582638,100.0,5,4.603200792
"Cera Sanitaryware Ltd","CERA","Building Products - Ceramics",7203.689606,5515.4,47.67498085,7.510063652,14.76508697,1469.48,208.96,57.86,-0.856382278,-0.457231863,-0.860595759,0.0,69.23076923,9,9.692859992
"Jyothy Labs Ltd","JYOTHYLAB","FMCG - Household Products",7202.499618,198.05,44.46810902,5.515257014,11.97836725,2215.16,196.92,34.95,-0.668166733,1.330489105,-0.770868291,0.0,60.0,6,3.509214845
"TCI Express Ltd","TCIEXP","Logistics",7201.607774,1863.55,55.89574491,7.709653985,16.63485188,1089.64,172.01,43.17,1.655456433,-0.046234518,-0.21019141,-0.029957271,63.63636364,7,13.70770841
"Bls International Services Ltd","BLS","Outsourced services",7195.241676,348.4,64.66470456,6.292018336,69.41862079,864.84,113.96,2.69,0.049595443,2.34317052,0.0,-0.185194106,0.0,0,10.50516648
"Birla Corporation Ltd","BIRLACORPN","Cement",7190.646083,936.0,18.04020694,10.98569971,17.17126999,7567.0,537.75,139.16,-0.293889981,-0.045148813,-0.191308793,0.0,93.33333333,14,32.95940171
"Praj Industries Ltd","PRAJIND","Construction & Engineering",7114.042332,387.45,47.35118698,20.38122708,42.13065148,2369.51,204.87,54.63,0.326460135,1.049427247,0.334079897,-0.006076098,80.0,4,32.92037682
"Sterlite Technologies Ltd","STLTECH","Telecom Equipments",7101.399229,178.4,114.6311417,18.81912935,24.09761336,5848.38,62.08,0.13,-3.419140786,1.923489798,-2.830433248,-0.049172219,100.0,3,23.31838565
"Supreme Petrochem Ltd","SPLPETRO","Specialty Chemicals",7065.049891,751.9,10.65200659,11.58865028,7.928419057,5062.8,887.82,224.56,0.077556349,0.072501078,0.070377077,0.0,100.0,1,16.10586514
"PNC Infratech Ltd","PNCINFRA","Construction & Engineering",6999.660989,267.9,12.06442887,26.05238494,-0.44374218,7297.03,806.1,225.91,0.527095346,-0.709893556,0.596004513,0.0,100.0,16,49.30944382
"CCL Products India Ltd","CCL","Tea & Coffee",6889.044431,539.15,33.71198645,8.440373268,34.47398576,1466.12,261.33,56.98,-0.489158968,1.749386144,-0.433284983,0.0,90.0,9,8.411388296
"JK Paper Ltd","JKPAPER","Paper Products",6885.797876,413.3,12.69037574,8.421205346,43.02227899,4368.69,796.7,254.1,-1.403425091,2.624714567,-1.119851683,0.0,75.0,3,9.121703363
"Rattanindia Enterprises Ltd","RTNINDIA","Power Trading & Consultancy",6859.187737,48.85,12.38411132,385.428128,0.0,592.99,554.07,0.2,0.001899412,0.023065761,0.001487771,0.054330791,0.0,0,0.0
"Garware Technical Fibres Ltd","GARFIBRES","Textiles",6820.854281,3319.7,41.3937024,7.295313108,12.19895633,1214.94,216.42,51.64,0.716164466,0.93547589,0.92749264,0.0,100.0,2,20.49281562
"Data Patterns (India) Ltd","DATAPATTNS","Aerospace & Defense Equipments",6812.853396,1302.55,72.50030218,0.0,27.56900988,314.81,127.38,33.41,0.992116469,0.167804243,0.612467754,0.138041288,100.0,3,15.15872711
"Rashtriya Chemicals and Fertilizers Ltd","RCF","Fertilizers & Agro Chemicals",6798.5669,122.95,9.679190906,12.78188343,0.0,13076.25,941.94,239.55,0.36081003,0.118436667,0.368715403,0.0,0.0,0,0.0
"Procter & Gamble Health Ltd","PGHL","Pharmaceuticals",6778.024463,4063.15,35.20685884,7.869751419,10.29620433,1127.6,253.37,60.85,4.541391963,-0.412792476,0.282480396,0.0,100.0,1,28.84092391
"Sun Pharma Advanced Research Co Ltd","SPARC","Pharmaceuticals",6756.546279,247.35,-33.21802497,-5.846659062,0.0,144.09,-203.4,0.0,0.175159928,-0.025346941,0.0024647,0.0,100.0,1,392.8239337
"National Highways Infra Trust","NHIT","Roads",6746.843732,109.74,98.68134756,0.0,0.0,149.76,70.11,1.74,0.0,0.0,0.0,0.0,0.0,0,0.0
"Ingersoll-Rand (India) Ltd","INGERRAND","Industrial Machinery",6724.539111,2131.35,61.04892521,5.950485025,0.0,922.97,148.36,38.21,0.2125,0.121040294,0.202087557,0.0,0.0,0,0.0
"Equitas Small Finance Bank Ltd","EQUITASBNK","Private Banks",6716.846229,53.6,23.92550484,26.90772512,-21.90091638,3997.23,378.12,97.38,-0.237115055,0.174081058,-0.247419431,-0.019922112,92.30769231,12,21.26865672
"KSB Ltd","KSB","Industrial Machinery",6702.210925,1918.95,44.86685583,12.46147656,14.92129569,1537.4,201.0,51.62,-0.152879334,0.259622515,0.415162169,0.0,66.66666667,2,9.12217619
"Network18 Media & Investments Ltd","NETWORK18","Movies & TV Serials",6670.61996,63.95,32.14137015,30.96759689,0.0,5956.13,939.27,731.73,-0.020632438,0.255408929,-0.013462458,0.0,0.0,0,0.0
"BHARAT Bond ETF-April 2030-Growth","EBBETF0430","Debt",6636.666278,1232.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
"Archean Chemical Industries Ltd","ACI","Commodity Chemicals",6635.66644,539.15,35.25484242,0.0,0.0,1142.83,251.02,62.8,0.0,0.0,0.0,0.0,0.0,0,0.0
"Amber Enterprises India Ltd","AMBER","Home Electronics & Appliances",6631.987829,1934.25,60.73805137,20.61711132,37.29971719,4239.63,154.27,45.08,5.135697201,-0.439405182,-0.187744124,0.0,60.0,12,26.92257981
"INOX Leisure Ltd","INOXLEISUR","Theatres",6611.360504,540.75,-27.61406943,-10.51315369,202.1408938,705.78,-313.3,-73.88,-0.780978483,2.140940328,-1.187964495,0.0,94.11764706,16,16.50485437
"BHARAT Bond ETF-April 2032","BBETF0432","Debt",6496.905611,1028.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
"CE Info Systems Ltd","MAPMYINDIA","Software Services",6487.6312,1202.2,74.54476847,0.0,15.91388074,241.99,117.33,30.3,-0.179309291,-0.035251409,-0.303181652,-0.412784998,100.0,3,39.16153718
"Welspun Corp Ltd","WELCORP","Iron & Steel",6450.619685,245.45,14.70092683,3.145608374,21.47532783,7056.33,660.54,221.75,4.635194026,0.08751795,-0.150512657,-0.108048206,100.0,2,17.13179874
"shipping corporation of India Ltd","SCI","Logistics",6447.762279,138.5,7.45216509,7.31385774,0.0,5170.3,908.61,43.39,-0.063607907,0.141867841,0.002129459,0.0,0.0,0,-38.62815884
"Indiabulls Housing Finance Ltd","IBULHSGFIN","Home Financing",6415.881339,143.55,5.447621155,-5.109540897,-65.10657168,8993.9,1555.77,378.03,1.285694807,-1.012270101,1.276401327,0.0,33.33333333,1,17.03239289
"Craftsman Automation Ltd","CRAFTSMAN","Industrial Machinery",6397.506792,3058.6,39.22684893,14.86219556,29.15093492,2224.8,251.73,88.64,0.925615872,0.350430283,1.895281644,-0.709947899,85.71428571,6,8.971424835
"Bombay Burmah Trading Corporation Ltd","BBTC","Tea & Coffee",6374.68451,960.25,100.5312176,9.152622793,0.0,14920.23,1514.17,1450.76,0.000675057,0.084685955,-0.585761603,0.0,0.0,0,0.0
"Jindal Worldwide Ltd","JINDWORLD","Textiles",6367.023602,337.25,58.30073805,16.66239718,0.0,2561.41,146.39,37.18,0.0,-0.000411429,0.0,0.0,0.0,0,0.0
"Indigo Paints Ltd","INDIGOPNTS","Paints",6365.028912,1326.4,75.72907688,25.86013872,23.87932727,916.86,114.29,30.24,-0.336315689,-0.255037961,-0.028550108,0.0,42.85714286,3,26.65862485
"Symphony Ltd","SYMPHONY","Home Electronics & Appliances",6357.685651,887.15,52.84419958,5.954808729,22.69388143,1079.01,167.52,47.21,0.249095873,-0.303190531,0.098503366,0.0,85.71428571,6,40.33703432
"India Infrastructure Trust","INFRATRUST","Infra REIT",6347.84,95.6,11.55623521,0.0,0.0,2633.76,550.68,1.38,0.0,0.0,0.0,0.0,0.0,0,0.0
"Quess Corp Ltd","QUESS","Employment Services",6335.791866,437.45,26.26561589,26.06489936,22.70509959,13788.18,357.55,116.33,-1.286369225,-0.067669015,-1.163142471,-0.024141488,75.0,6,71.4481655
"TV18 Broadcast Ltd","TV18BRDCST","TV Channels & Broadcasters",6322.504024,36.1,10.81694444,40.77817039,0.003182956,5655.12,1016.29,431.79,-0.122170011,-0.397614758,-0.085713319,0.0,0.0,0,-27.97783934
"Home First Finance Company India Ltd","HOMEFIRST","Home Financing",6295.775608,724.95,33.83370383,44.58138905,-19.48967601,595.7,226.28,40.2,1.727081206,-35.6757584,-0.837533594,-0.01668418,92.30769231,12,37.94054762
"MMTC Ltd","MMTC","Commodities Trading",6266.545877,41.4,-23.88347388,-0.256170837,0.0,11825.62,101.08,363.46,0.000591733,-0.000947267,0.000591733,0.0,0.0,0,0.0
"Indinfravit Trust","INDINFR","Roads",6266.152888,101.0,-11.95648162,0.0,0.0,1775.32,-620.95,-96.87,0.0,0.0,0.0,0.0,0.0,0,0.0
"Delta Corp Ltd","DELTACORP","Theme Parks & Gaming",6203.974198,232.1,92.61045228,7.12165821,39.2534813,654.21,97.6,30.61,-0.766960132,-0.964300667,-0.758224872,0.0,0.0,0,0.0
"Borosil Renewables Ltd","BORORENEW","Housewares",6191.030625,539.8,37.32909632,11.09166949,104.8651332,664.73,219.76,53.91,-0.043134966,0.943831599,-0.037353333,-0.002835738,100.0,1,30.41867358
"BEML Ltd","BEML","Rail",6190.998672,1487.45,48.06675987,11.17882363,7.072221109,4343.19,199.74,70.94,1.641911897,-0.771254307,2.037128552,0.0,50.0,1,11.0961713
"Intellect Design Arena Ltd","INTELLECT","Software Services",6187.845245,450.85,17.7261523,15.0211085,16.75879946,1921.14,413.18,64.1,-0.331611953,-0.111223774,-0.138692839,-0.099152912,40.0,2,16.44671177
"Prince Pipes and Fittings Ltd","PRINCEPIPE","Building Products - Pipes",6163.727428,556.7,24.71422385,16.34301162,-3.910152875,2662.3,336.87,87.47,0.063912272,-0.168858598,0.197435256,0.000167592,87.5,7,19.09466499
"Chemplast Sanmar Ltd","CHEMPLASTS","Building Products - Pipes",6149.444496,386.2,9.480227694,15.2026359,-4.733691012,5949.48,795.56,146.9,-0.522044288,-0.941351597,-0.45887354,0.0,100.0,2,103.9098912
"Go Fashion (India) Ltd","GOCOLORS","Apparel & Accessories",6141.756861,1127.7,172.5697348,30.09340887,60.59972106,430.2,47.86,12.27,-0.018419158,-0.211155611,-0.278514775,0.0,66.66666667,2,41.88170613
"Prism Johnson Ltd","PRSMJOHNSN","Cement",6089.774715,129.6,66.35910117,4.496533534,12.11361475,6361.85,83.93,-7.84,-1.118002272,0.07580491,-1.119730669,0.0,66.66666667,4,2.237654321
"Religare Enterprises Ltd","RELIGARE","Investment Banking & Brokerage",6085.09107,183.6,-3.941478547,-4.329354253,0.0,3372.45,-1031.05,512.81,1.864939554,0.620480596,0.546206885,0.0,0.0,0,0.0
"Swan Energy Ltd","SWANENERGY","Textiles",6083.892161,242.3,-38.532473,6.344566698,0.0,494.09,-184.23,-26.34,-0.000957877,-0.133036523,1.06e-05,0.0,0.0,0,0.0
"Orient Electric Ltd","ORIENTELEC","Home Electronics & Appliances",6082.539523,281.85,48.03016048,63.61790242,3.785544675,2547.85,169.76,43.12,-2.056293359,-0.043612,-2.127331871,-0.096617566,50.0,8,4.665602271
"Jubilant Pharmova Ltd","JUBLPHARMA","Pharmaceuticals",6072.324474,381.3,14.66993084,0.852310712,0.087112978,6141.45,630.44,216.51,0.985285521,-0.405309131,0.348886255,0.0,50.0,2,4.117492788
"Rain Industries Ltd","RAIN","Commodity Chemicals",6067.69499,178.8,10.45829741,9.422867816,0.0,14719.9,1276.44,696.26,0.640996491,1.488373513,0.602345779,0.0,100.0,1,-88.81431767
"Kennametal India Ltd","KENNAMET","Industrial Machinery",6052.767744,2685.75,53.04792063,8.743121767,0.0,1000.1,152.6,38.5,-0.046213892,0.100517603,-0.07462836,0.0,0.0,0,0.0
"Edelweiss Financial Services Ltd","EDELWEISS","Diversified Financials",6005.677338,66.8,31.8131017,2.259701553,0.0,7401.24,227.37,38.59,0.015037516,-30.07348209,0.003255642,0.0,0.0,0,-19.16167665
"Sobha Ltd","SOBHA","Real Estate",5949.246507,627.4,50.89611179,4.349177572,12.10031259,2821.58,158.21,41.32,0.737882551,0.525819511,1.548046597,0.0,94.11764706,16,35.47975773
"Restaurant Brands Asia Ltd","RBA","Restaurants & Cafes",5921.983205,119.0,-30.22499466,45.22989146,41.19708669,1512.71,-235.16,-39.23,0.141088448,1.102051958,0.468439128,-0.009047101,80.0,8,22.68907563
"Maharashtra Scooters Ltd","MAHSCOOTER","Two Wheelers",5901.145515,4974.75,41.35350746,45.04465682,0.0,194.45,172.22,29.52,0.06636002,0.044537513,0.045018764,0.0,0.0,0,0.0
"Gujarat Alkalies And Chemicals Ltd","GUJALKALI","Commodity Chemicals",5855.203541,790.35,10.46001669,12.34556602,0.0,3805.13,826.42,266.65,-0.158713066,-0.07492552,0.001541459,0.0,0.0,0,0.0
"ESAB India Ltd","ESABINDIA","Industrial Machinery",5853.125179,3813.55,69.42385457,13.43457941,0.0,900.98,113.56,29.25,-0.032878538,-0.004787884,-0.02670691,0.0,100.0,1,-21.33314104
"Mahindra Lifespace Developers Ltd","MAHLIFE","Real Estate",5807.709047,383.8,37.59278301,-7.424338891,-11.34477777,595.34,99.28,-55.21,-0.582157418,0.823783533,-0.602367644,-0.014057072,100.0,7,23.76237624
"Ircon International Ltd","IRCON","Construction & Engineering",5799.785087,59.9,9.79131088,17.72883341,16.17259487,7645.65,688.65,96.31,0.003324984,-0.1815455,0.001528098,0.0,100.0,3,3.505843072
"Sunteck Realty Ltd","SUNTECK","Real Estate",5798.237029,398.2,231.1896742,-11.03590085,76.34858648,535.19,32.54,7.46,0.869045438,-0.432975092,-0.215670885,0.0,85.71428571,6,48.16675038
"Caplin Point Laboratories Ltd","CAPLIPOINT","Pharmaceuticals",5744.409776,758.25,19.15825032,26.0186984,9.375,1308.16,385.82,85.98,-0.002548794,0.120265631,-0.0144933,0.0,100.0,2,25.6181998
"Apar Industries Ltd","APARINDS","Electrical Components & Equipments",5742.293959,1467.6,22.36705472,14.0446784,30.05367491,9352.6,342.0,85.27,-1.105143094,0.368458553,-0.439587329,0.0,100.0,2,8.135731807
"Ujjivan Small Finance Bank Ltd","UJJIVANSFB","Private Banks",5684.475337,28.3,-13.71107681,69.0984502,-19.10769752,3126.07,-550.36,-135.77,8.433356496,3.076768329,1.581804449,-9.642474317,92.30769231,12,20.14134276
"SIS Ltd","SIS","Business Support Services",5679.467908,389.95,17.47206026,18.16752545,10.64269019,10114.36,343.86,18.8,0.511661536,-0.941753315,0.598793288,-0.065533079,83.33333333,5,30.7859982
"Garden Reach Shipbuilders & Engineers Ltd","GRSE","Shipbuilding",5678.076682,482.5,29.9603033,11.00847758,83.53526296,1918.16,257.23,67.71,-0.802202493,0.188970948,-1.090214924,0.0,66.66666667,2,2.590673575
"Polyplex Corp Ltd","POLYPLEX","Commodity Chemicals",5599.055605,1761.9,9.84345494,14.85725094,15.22603882,6752.38,1146.88,578.07,-0.613494411,2.027276484,-0.099769174,0.0,0.0,0,40.35983881
"Mahindra Holidays and Resorts India Ltd","MHRIL","Hotels, Resorts & Cruise Lines",5540.144048,274.3,82.06405048,-1.028755789,-18.9992978,2178.87,110.57,43.06,-1.358632774,0.168064967,-1.17838611,-0.122401424,50.0,1,11.9212541
"V-mart Retail Ltd","VMART","Retail - Department Stores",5517.084484,2784.6,473.5694836,10.80534829,50.53209852,1680.14,10.4,-1.25,5.945745247,-6.672928138,2.082957426,-0.040201729,80.0,16,27.48689219
"VST Industries Ltd","VSTIND","FMCG - Tobacco",5494.526564,3562.8,17.15752737,5.381012067,5.430096992,1224.84,428.22,107.98,0.029057267,-0.162466844,0.051172393,0.0,50.0,1,12.62209498
"Vaibhav Global Ltd","VAIBHAVGBL","Apparel & Accessories",5466.282356,330.95,22.99559277,14.05192968,-2.036570639,2807.17,270.55,32.84,-1.586671735,-0.183744291,-1.054416413,-0.0624068,100.0,1,105.1669436
"Reliance Power Ltd","RPOWER","Power Generation",5437.205356,15.9,-8.973618781,-6.711851202,0.0,7695.33,-512.8,93.11,0.014716414,0.179096074,0.0,0.0,0.0,0,0.0
"Sterling and Wilson Renewable Energy Ltd","SWSOLAR","Renewable Energy Equipment & Services",5390.010481,289.9,-5.926605328,0.0,0.0,5293.64,-910.16,-0.7,0.520825368,0.595124237,0.520825368,-1.874700045,0.0,0,0.0
"GHCL Ltd","GHCL","Commodity Chemicals",5387.113094,563.9,8.330157869,6.3346683,22.77475318,3838.9,859.2,212.5,-3.761441058,3.903769751,-1.994383349,0.003138542,50.0,1,43.73115801
"Gujarat State Fertilizers and Chemicals Ltd","GSFC","Fertilizers & Agro Chemicals",5360.552815,131.15,5.965382997,11.71527099,16.25884407,9267.51,1315.21,416.6,-1.660788753,-1.326599771,0.003372587,0.0,0.0,0,28.86008387
"Gujarat Ambuja Exports Ltd","GAEL","Agro Products",5308.480206,229.75,11.16540511,7.076468226,0.0,4724.37,638.17,162.73,0.002130941,0.120878017,0.002130941,0.0,0.0,0,0.0
"Glenmark Life Sciences Ltd","GLS","Pharmaceuticals",5284.134855,431.5,12.6197336,0.0,-2.781644223,2137.91,564.92,146.2,0.006047638,-1.537455708,0.001124648,0.0,100.0,4,26.8829664
"Avanti Feeds Ltd","AVANTIFEED","Packaged Foods & Meats",5257.545813,385.05,23.72752872,14.16235959,9.814503979,5117.63,323.89,102.31,-0.105199704,0.032747472,-0.171587155,-0.403055863,100.0,3,30.11297234
"EPL Ltd","EPL","Packaging",5220.044387,162.15,24.34722195,7.90978094,8.655074315,3444.8,288.8,74.4,1.982456561,-2.489008168,2.73814177,0.0,100.0,8,32.28492137
"NCC Ltd","NCC","Construction & Engineering",5211.393391,82.85,10.80283035,4.384972864,9.213529414,11413.65,634.68,152.27,1.80107224,3.030748665,-1.52592124,0.879587203,100.0,12,22.51056126
"Jaiprakash Power Ventures Ltd","JPPOWER","Renewable Energy",5205.759292,7.6,48.43467894,0.479744758,0.0,4859.63,310.46,202.98,-0.867727107,0.550978943,0.0,0.0,0.0,0,0.0
"PCBL Ltd","PCBL","Commodity Chemicals",5191.024137,138.55,12.18493061,18.12682656,19.9405141,4475.01,531.57,105.55,-0.824693352,0.712364343,-0.454528735,0.021194153,100.0,5,19.81234211
"Rolex Rings Ltd","ROLEXRINGS","Industrial Machinery",5177.058512,1857.55,39.25285095,7.850536869,18.6717633,1028.13,194.37,62.48,10.30927123,1.469872632,8.850274987,0.000330478,100.0,1,34.58587925
"Nippon India ETF Gold BeES","GOLDBEES","Gold",5168.879891,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
"Maharashtra Seamless Ltd","MAHSEAMLES","Building Products - Pipes",5168.18243,377.1,13.59296818,23.33698584,18.55073472,4311.15,505.23,125.02,0.429759115,1.395031668,0.150487407,0.174030822,100.0,1,23.30946698
"Hinduja Global Solutions Ltd","HGS","Outsourced services",5160.943844,1221.35,0.845564277,20.5710084,0.0,9513.95,6137.83,34.28,-0.031549129,7.346707267,-0.031549129,0.0,0.0,0,0.0
"CMS Info Systems Ltd","CMSINFO","Software Services",5138.27772,332.4,22.93566808,15.11471152,22.38510748,1597.58,301.44,77.41,0.434943635,0.210335631,0.484325785,-0.153591646,100.0,5,17.32851986
"Meghmani Finechem Ltd","MFL","Specialty Chemicals",5125.295436,1259.95,20.27651792,31.67103673,0.0,1555.05,383.41,130.64,-0.026185219,0.022522177,-0.010784556,0.016245426,0.0,0,0.0
"Transport Corporation of India Ltd","TCI","Logistics",5107.016331,671.3,17.63411599,10.89554568,12.43667266,3304.26,330.47,40.86,-0.225087926,0.215449008,-0.24409958,2.453615288,75.0,6,22.52346194
"Lux Industries Ltd","LUXIND","Apparel & Accessories",5085.175116,1682.65,14.97092801,19.23808146,17.90291061,2312.92,455.92,116.25,4.892626388,0.028871017,-0.033589742,-0.133610755,100.0,1,57.48967403
"JBM Auto Ltd","JBMA","Auto Parts",5033.370956,420.8,32.22388576,15.9078334,30.24106732,3214.04,187.05,30.85,0.0,-0.068349226,0.0,0.0,100.0,1,52.80418251
"Syrma SGS Technology Ltd","SYRMA","Electronic Equipments",5030.975975,286.25,65.36281636,0.0,0.0,1284.44,110.79,33.82,0.0,0.0,0.0,0.0,0.0,0,0.0
"Mastek Ltd","MASTEK","IT Services & Consulting",4996.869227,1675.3,16.9310786,31.12120408,12.90271722,2219.92,448.04,152.91,-1.979698397,5.0261385,-0.495612572,-0.031652245,50.0,2,31.61821763
"Elecon Engineering Company Ltd","ELECON","Heavy Electrical Equipments",4996.31547,438.8,35.56855891,-0.010544231,0.0,1213.55,170.51,30.04,-0.337035756,-0.130348526,-0.755229291,0.02584671,0.0,0,0.0
"Zensar Technologies Ltd","ZENSARTECH","IT Services & Consulting",4990.952302,222.1,11.9888357,7.306070328,13.53417779,4381.5,574.1,157.8,-1.370668941,-6.768143831,-0.789750971,-0.003882581,54.54545455,6,10.98604232
"Tatva Chintan Pharma Chem Ltd","TATVA","Specialty Chemicals",4972.982833,2224.2,51.87214804,0.0,-1.116283274,442.54,104.12,8.25,0.400892179,0.065201712,0.456971426,0.0,80.0,4,14.55804334
"MTAR Technologies Ltd","MTARTECH","Industrial Machinery",4964.937271,1606.35,81.57964626,26.66120782,58.81884146,330.76,82.21,21.35,0.488501294,0.882901857,2.239652666,-0.28608963,100.0,4,36.05378653
"Just Dial Ltd","JUSTDIAL","Online Services",4961.621136,588.85,70.04971249,-0.923766625,9.945261406,769.11,83.29,12.46,0.027365726,-0.158673225,0.266863044,-0.074696659,70.0,7,26.09323257
"VRL Logistics Ltd","VRLLOG","Logistics",4910.516796,549.95,30.67156025,5.869205609,20.39610697,2410.46,209.88,49.78,0.862604542,0.375560193,0.207974566,0.0,100.0,7,34.10310028
"Jindal Poly Films Ltd","JINDALPOLY","Packaging",4863.461669,862.95,4.065657665,-2.433116182,0.0,6282.88,1636.14,439.91,0.050673253,-0.035757668,0.0,0.0,0.0,0,0.0
"Minda Corporation Ltd","MINDACORP","Auto Parts",4806.510232,204.6,25.04695275,7.765789186,38.0440517,3032.8,208.5,16.6,-0.152307543,0.770486538,0.270488409,1.109102861,88.88888889,8,38.0742913
"F D C Ltd","FDC","Pharmaceuticals",4797.963641,286.9,22.17173586,8.552753595,18.22868935,1604.01,289.39,72.99,0.688142018,-0.342242006,0.720636125,0.0,100.0,1,21.99372604
"Suprajit Engineering Ltd","SUPRAJIT","Auto Parts",4780.173782,343.35,27.61669526,9.157044717,48.28030502,1901.5,235.18,62.09,0.40642287,0.472702085,1.061113666,-0.000169025,100.0,7,18.82918305
"JK Tyre & Industries Ltd","JKTYRE","Tires & Rubber",4763.173219,193.55,22.67961727,8.86473438,23.60186042,12023.12,309.01,98.99,0.154173189,-0.119921596,0.0,0.0,0.0,0,-7.000774994
"Rallis India Ltd","RALLIS","Fertilizers & Agro Chemicals",4757.975829,244.8,28.97494567,7.479102642,14.29890666,2631.39,222.42,58.21,0.120639862,-0.008728388,0.296619166,0.0,35.71428571,5,-0.735294118
"Kirloskar Oil Engines Ltd","KIRLOSENG","Industrial Machinery",4734.468575,320.95,27.12851578,7.984735772,-3.391676525,4049.03,231.88,57.36,-3.24872476,1.619999095,-3.655639419,-0.007010246,100.0,3,-8.085371553
"Gujarat Mineral Development Corporation Ltd","GMDCLTD","Mining - Diversified",4732.411493,149.8,11.68554371,10.87866794,0.0,2895.08,736.72,331.74,-0.175673899,0.05257956,0.023640252,0.0,100.0,1,53.53805073
"Engineers India Ltd","ENGINERSIN","Construction & Engineering",4718.555064,82.15,33.81991875,12.31876556,8.889414734,3042.72,449.47,309.95,0.458660614,0.463723578,-0.36052602,0.0,100.0,6,9.555690809
"Mishra Dhatu Nigam Ltd","MIDHANI","Metals - Diversified",4702.452107,247.05,26.62468637,2.266092225,23.84554095,891.11,239.43,62.81,0.984617028,0.013972646,0.955216737,0.002754654,0.0,0,-12.97308237
"Privi Speciality Chemicals Ltd","PRIVISCL","Specialty Chemicals",4683.575936,1196.1,48.09587119,18.85834111,0.0,1441.41,132.76,35.38,0.053808356,-0.061088958,0.007426521,0.0,50.0,1,45.72360171
"Borosil Ltd","BOROLTD","Housewares",4677.250834,403.15,55.8677835,0.0,0.0,864.43,122.0,38.28,0.029847443,-0.336671338,-1.34e-05,-0.067547806,0.0,0,0.0
"Railtel Corporation of India Ltd","RAILTEL","Communication & Networking",4614.15566,138.9,22.08363961,12.51195762,9.962406015,1627.92,280.62,71.68,0.654225843,0.121310193,0.651865889,0.0,66.66666667,2,-13.60691145
"MAS Financial Services Ltd","MASFIN","Diversified Financials",4608.749603,850.25,28.92944324,13.63766013,-32.16709352,691.11,216.48,57.17,0.816251965,-0.005868789,1.014067476,0.015184211,100.0,2,24.0811526
"JSW Holdings Ltd","JSWHL","Asset Management",4596.067614,4244.3,30.31506902,24.05624114,0.0,186.14,180.37,28.76,0.003351465,0.009874207,0.0,0.025676543,0.0,0,0.0
"Vijaya Diagnostic Centre Ltd","VIJAYA","Hospitals & Diagnostic Centres",4594.666978,460.05,41.89538596,0.0,-3.082912458,475.2,147.38,37.71,2.967810478,-4.102142632,2.525796088,-0.022318089,100.0,4,12.48777307
"Rajratan Global Wire Ltd","RAJRATAN","Iron & Steel",4587.423665,907.5,36.89715809,25.66095303,11.5357538,894.87,152.64,28.31,-0.032158122,0.177431999,-0.156031987,0.0,33.33333333,1,14.60055096
"PDS Limited","PDSL","Textiles",4546.065609,352.55,18.29991792,13.99658715,19.28106042,8914.24,310.08,61.66,0.0,-0.146552494,0.0,0.0,100.0,2,28.20876755
"Indiabulls Real Estate Ltd","IBREALEST","Real Estate",4542.528937,84.8,-33.22505074,-11.54566073,0.0,1541.37,-26.99,109.73,-1.355223032,0.078200344,-1.704224893,0.0,0.0,0,0.0
"Greenpanel Industries Ltd","GREENPANEL","Wood Products",4507.750914,397.05,18.74636494,0.0,18.34149327,1634.0,348.93,108.47,-0.260708466,0.11540162,0.245892037,0.0,88.88888889,8,48.59589472
"Karnataka Bank Ltd","KTKBANK","Private Banks",4505.158594,143.95,8.868597008,3.66134693,-44.15611926,7175.54,693.93,185.94,0.000115245,2.700264574,0.0,0.0,100.0,1,-2.744008336
"Paradeep Phosphates Ltd","PARADEEP","Fertilizers & Agro Chemicals",4501.703659,55.3,11.29775551,0.0,93.79383688,7898.6,534.99,136.53,-0.706519438,-2.30670926,-0.855365791,0.0,100.0,1,19.34900542
"Heidelbergcement India Ltd","HEIDELBERG","Cement",4486.732739,201.05,17.78614421,6.144983737,3.370374633,2346.03,335.13,82.87,1.22377868,-1.242823032,0.139960566,0.0,38.88888889,7,4.949017657
"Jammu and Kashmir Bank Ltd","J&KBANK","Private Banks",4463.613609,46.45,9.020316888,4.152085056,0.0,8803.39,745.57,250.73,1.184992579,0.055392944,0.0,0.0,100.0,1,7.64262648
"Nippon India ETF Nifty BeES","NIFTYBEES","Equity",4449.399917,203.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
